actor,n_innovation,health_biotech_pct,climate_energy_pct,scientific_pct,productivity_pct,other_progress_pct
Google DeepMind,836,14.2,9.0,51.8,12.7,12.3
UK DSIT,1121,14.0,8.6,16.5,32.0,28.9
Demis Hassabis,447,13.2,6.3,50.1,14.3,16.1
EU Commission,346,12.4,3.5,23.4,22.5,38.2
Microsoft,1430,11.0,12.3,14.5,36.8,25.3
US Congress,144,10.4,3.5,13.2,33.3,39.6
OpenAI,966,9.6,0.2,35.2,43.1,11.9
Dario Amodei,1615,9.5,1.1,24.7,44.5,20.2
Jensen Huang,897,9.5,3.9,21.4,53.5,11.7
Meta AI,630,8.9,3.3,25.1,39.0,23.7
White House OSTP,307,8.5,3.6,40.4,14.0,33.6
Anthropic,1271,5.8,0.9,24.5,50.6,18.2
Mark Zuckerberg,667,5.5,2.5,25.3,35.1,31.5
Nvidia,415,5.5,4.6,26.7,58.1,5.1
Satya Nadella,697,5.2,15.8,8.5,41.6,29.0
Sam Altman,102,4.9,1.0,28.4,23.5,42.2
